회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
메리츠화재해상보험,2024년 메리츠화재 상반기 '상품전략 및 가정모델' 대졸 신입사원 채용 공고,신입,서울 강남구,"자동차, 보험영업, 손해보험, 화재보험, 사업기획, 데이터분석, 신사업기획, 전략기획, 경영기획, 경영컨설팅, 금융컨설팅, 경영기획, 문서작성, 통계·분석, 자료조사, 시스템분석, 시스템설계, 시스템운영, 서버관리, 모델링",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43348508?Oem_Code=C1&logpath=1&stext=&listno=34
KS신용정보,[KS신용정보] 경영기획본부 IT팀 채용,신입·경력,서울 강남구 외,"채권추심, 네트워크관리, 시스템운영, 시스템운영, 서버구축, 네트워크관리, 서버구축, 채권",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43354474?Oem_Code=C1&logpath=1&stext=&listno=35
펜타시스템테크놀러지㈜,"[본사 및 부산, 대전] Blue Analytics 채용 공고",신입·경력3년↑,서울 영등포구 외,"SM, 솔루션, Python, 시스템영업, DBA, PM, SI, SI개발, SI영업, 데이터분석, 공공영업, PM, 분석모델링, 웹개발, Snowflake, 기술지원, Java, 소프트웨어개발, 데이터엔지니어",~01/16(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43357561?Oem_Code=C1&logpath=1&stext=&listno=36
㈜피엠씨프러덕션,시스템팀 (신입/경력) 정규직 채용,신입·경력,서울 종로구 외,"사내시스템 관리 및 유지보수, 공연예술, 네트워크관리, 시스템운영, 시스템운영, 네트워크관리, API연동, 공연, 문화.공연.예술, 서버관리",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43357986?Oem_Code=C1&logpath=1&stext=&listno=37
㈜재능교육,"[JEI 재능그룹] 재능교육 교육시스템팀(신입, 경력) 인재모집",신입·경력3년↑,서울 종로구 외,"js, SPA프로젝트, JavaScript, jenkins, 소프트웨어개발, CSS, 애플리케이션개발, 교육콘텐츠, React, 교육시스템개발, GIT, 교육콘텐츠개발, 웹개발, HTML, Vue",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43357017?Oem_Code=C1&logpath=1&stext=&listno=38
대아티아이㈜,"[상장사] (DBA)소프트웨어 개발직 채용 (신입, 경력)",신입·경력2년↑,서울 영등포구,"데이터관리, DBMS, DB튜닝",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43355750?Oem_Code=C1&logpath=1&stext=&listno=39
대아티아이㈜,"[상장사] 소프트웨어 개발직 채용 (신입, 경력)",신입·경력2년↑,서울 영등포구,"시스템분석, 시스템설계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43355559?Oem_Code=C1&logpath=1&stext=&listno=40
미원상사㈜,미원상사 및 관계사 IT/SW 직무 채용,신입·경력,경기 안양시 외,화학,~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43355331?Oem_Code=C1&logpath=1&stext=&listno=41
나이스피앤아이㈜,[NICE피앤아이] 2023년 4분기 정규직(신입&경력) 채용,신입·경력,서울 영등포구,"빅데이터, 데이터레이크, 금융, ETL, 시스템운영, 금융상품기획, 서버구축, 시스템분석, 평가엔진, 공정가치, 시스템설계, 금융데이터, 증권, 채권, 서버관리, 데이터파이프라인",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43351710?Oem_Code=C1&logpath=1&stext=&listno=42
인크로스㈜,[SK그룹-인크로스] 2024년 상반기 신입(인턴) 채용,신입,서울 관악구,"재무기획, 데이터분석, 전략기획, 서비스기획, 제안·컨설팅, 데이터분석, 콘텐츠기획, 재무기획, 재무분석, 광고기획, 브랜딩, 시장분석, 시장조사, 포지셔닝, 브랜드기획",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43354858?Oem_Code=C1&logpath=1&stext=&listno=43
㈜이스턴네트웍스,자사 플랫폼 개발자 채용,신입·경력1년↑,서울 강남구,"하드웨어, 유지보수",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43354765?Oem_Code=C1&logpath=1&stext=&listno=44
㈜에스엠코어,"(주)에스엠코어 SI 전산 개발자(Unreal 3D, C#, C++, JAVA) 모집합니다.",신입·경력,서울 마포구,"기계, 자동화설비, SI개발, 기계설계",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43354593?Oem_Code=C1&logpath=1&stext=&listno=45
현대디지텍코어㈜,광주/부산 OA장비 유지보수 직원 채용,신입·경력,부산 사상구 외,"시스템운영, 하드웨어, 컴퓨터, 유지보수",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43354541?Oem_Code=C1&logpath=1&stext=&listno=46
LX인터내셔널,2023년 신입사원 상시 채용(IT시스템),신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354136?Oem_Code=C1&logpath=1&stext=&listno=47
LX인터내셔널,2023년 신입사원 상시 채용(HR),신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354129?Oem_Code=C1&logpath=1&stext=&listno=48
LX인터내셔널,2023년 신입사원 상시 채용(재경/기획),신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354121?Oem_Code=C1&logpath=1&stext=&listno=49
LX인터내셔널,2023년 신입사원 상시 채용(사업개발),신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354112?Oem_Code=C1&logpath=1&stext=&listno=50
LX인터내셔널,2023년 신입사원 상시 채용(해외영업),신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354093?Oem_Code=C1&logpath=1&stext=&listno=51
LX인터내셔널,2023년 신입사원 상시 채용,신입,서울 종로구,"사업개발, 사업기획, HR, 경영기획",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43354085?Oem_Code=C1&logpath=1&stext=&listno=52
㈜한솥,(주)한솥 디지털기획운영팀 IT서비스 운영 담당 신입 채용,신입,서울 강남구 외,"네트워크관리, 시스템분석, 시스템운영, 시스템운영, 정보보안, 서버구축, 시스템분석, 네트워크관리, 음식료, 시스템설계, 시스템설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43353008?Oem_Code=C1&logpath=1&stext=&listno=53
㈜리드코프,(주)리드코프 전산팀 개발파트 채용,신입·경력2년↑,서울 중구,SI개발,~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43352994?Oem_Code=C1&logpath=1&stext=&listno=54
㈜닷밀,[닷밀] 테마파크/전시 Technical Designer 채용,신입·경력1년↑,서울 마포구,컨텐츠,~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43352751?Oem_Code=C1&logpath=1&stext=&listno=55
티맥스그룹,[TmaxTibero] Tibero 연구원,신입·경력,경기 성남시,"BigData, OLAP개발자, 데이터관리, DataWarehouse, 솔루션, DBMS, 시스템분석, SI개발, OLAP, 데이터마이닝, 아키텍처, 시스템설계, 소프트웨어개발, 데이터파이프라인, DB튜닝",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43352727?Oem_Code=C1&logpath=1&stext=&listno=56
